Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding
,Debbie Wiley,19-08-2015 18:57,19-Aug-15,26-Aug-15,163.98,163.98,0.0
,Deborah Davis,28-06-2016 13:56,28-Jun-16,12-Jul-16,1741.43,1741.43,0.0
,Deborah Lewis,22-09-2016 08:46,16-Sep-16,30-Sep-16,262.69,262.69,0.0
,Debra Lin,24-10-2016 10:18,24-Oct-16,21-Nov-16,1250.46,1250.46,0.0
,Debra Reid,02-10-2017 12:19,30-Sep-17,30-Oct-17,79.98,79.98,0.0
,Debra Wright,11-07-2017 10:58,11-Jul-17,10-Aug-17,188.76,188.76,0.0
,Denise Brown,27-05-2015 13:11,26-May-15,25-Jun-15,64.44,64.44,0.0
,Denise Campos,03-07-2017 13:56,30-Jun-17,21-Jul-17,216.57,216.57,0.0
e mail / cd,Denise Yang,02-05-2017 13:02,02-May-17,01-Jun-17,3658.86,3658.86,0.0
,Derek Hogan,09-06-2015 11:23,13-Apr-15,13-May-15,481.98,481.98,0.0
,Derek Huber,16-08-2017 11:33,16-Aug-17,15-Sep-17,79.98,79.98,0.0
,Derrick Brown,07-09-2015 12:49,04-Sep-15,04-Oct-15,40.95,40.95,0.0
,Derrick Hunt,31-01-2017 11:44,30-Nov-16,30-Dec-16,286.98,101.98,185.0
,Derrick Olson,16-02-2017 16:14,30-Jan-17,01-Mar-17,579.98,579.98,0.0
,Desiree Holt,23-02-2017 16:18,23-Feb-17,25-Mar-17,190.98,190.98,0.0
,Desiree Miller,10-05-2014 13:05,06-May-14,05-Jun-14,21.03,21.03,0.0
,Desiree Roy,28-02-2014 12:02,28-Feb-14,30-Mar-14,565.56,565.56,0.0
Studio heating,Diana Donaldson,15-04-2015 08:31,05-Jan-15,04-Feb-15,2.64,2.64,0.0
,Diana Parker,13-08-2017 15:56,13-Aug-17,20-Aug-17,1081.98,1081.98,0.0
,Diane Higgins,23-12-2016 10:45,05-Dec-16,02-Jan-17,139.98,139.98,0.0
,Diane Proctor,06-11-2014 12:16,06-Nov-14,06-Dec-14,178.98,178.98,0.0
,Donald Fernandez,28-08-2014 12:05,22-Aug-14,21-Sep-14,105.18,105.18,0.0
,Donald Gonzalez,23-03-2016 11:25,23-Mar-16,22-Apr-16,1201.98,1201.98,0.0
,Donald Williams,03-08-2015 10:59,03-Aug-15,02-Sep-15,1179.03,1179.03,0.0
,Donna Mendez,23-04-2015 10:34,23-Apr-15,23-May-15,795.45,795.45,0.0
,Donna Skinner,26-07-2017 12:08,26-Jul-17,25-Aug-17,51.82,51.82,0.0
,Donna Williams,22-09-2016 08:52,22-Sep-16,22-Oct-16,663.78,663.78,0.0
,Donna Willis,03-07-2017 15:35,30-Jun-17,30-Jul-17,8636.36,8636.36,0.0
,Douglas Ross,15-05-2014 13:18,08-May-14,27-Jun-14,161.1,161.1,0.0
Fuel - Company Vehicle,Dr. Charles Pierce,04-04-2016 09:51,31-Mar-16,30-Apr-16,7929.48,7929.48,0.0
,Dr. Edward Stone,18-05-2017 15:26,18-May-17,25-May-17,791.98,791.98,0.0
,Dr. Lee Potter,20-06-2017 15:59,21-Jun-17,21-Jul-17,69.48,69.48,0.0
,Dr. Natalie Kaufman,06-05-2015 15:02,05-May-15,04-Jun-15,42.47,42.47,0.0
,Dustin Brandt,04-01-2016 09:22,04-Jan-16,03-Feb-16,131.98,131.98,0.0
,Dustin Graham,02-06-2015 10:01,02-Jun-15,09-Jun-15,283.98,283.98,0.0
,Eddie Frazier,29-11-2015 12:08,23-Nov-15,30-Nov-15,70.26,70.26,0.0
,Edward Mayo,14-04-2017 23:53,15-Apr-17,15-May-17,217.98,217.98,0.0
,Edward Mendoza,15-09-2016 10:18,15-Sep-16,31-Oct-16,4659.65,4659.65,0.0
,Edward Salazar,08-09-2014 06:29,21-Aug-14,04-Sep-14,45.18,45.18,0.0
,Edwin Lee,01-07-2015 13:34,05-Jun-15,05-Jul-15,1433.03,1433.03,0.0
Refreshments,Edwin Owens,06-07-2013 11:40,06-Jul-13,13-Jul-13,166.52,166.52,0.0
,Elizabeth Bishop,09-05-2016 09:36,30-Apr-16,20-May-16,46.79,46.79,0.0
,Elizabeth Carter,18-11-2014 11:49,18-Nov-14,18-Dec-14,841.98,841.98,0.0
,Elizabeth Figueroa,04-08-2014 09:25,04-Aug-14,18-Aug-14,8768.88,8768.88,0.0
,Elizabeth Miller,14-06-2016 10:22,14-Jun-16,21-Jun-16,66.78,66.78,0.0
,Elizabeth Perry,18-10-2015 04:19,03-Oct-15,02-Nov-15,241.98,241.98,0.0
,Elizabeth Roach,31-01-2015 10:50,31-Jan-15,07-Feb-15,129.18,129.18,0.0
,Elizabeth Smith,20-07-2016 14:04,20-Jul-16,19-Aug-16,9793.91,9793.91,0.0
,Elizabeth Spencer,05-08-2014 14:22,05-Aug-14,04-Sep-14,136.38,136.38,0.0
,Ellen Thompson,27-07-2017 15:44,07-Jun-17,07-Jul-17,52.45,52.45,0.0
,Emily Ross,15-04-2014 10:12,18-Feb-14,20-Mar-14,49.98,49.98,0.0
,Emily Smith,05-03-2015 10:21,31-Mar-15,30-Apr-15,417.96,417.96,0.0
,Eric Ewing,25-08-2015 20:36,13-Aug-15,12-Sep-15,88.09,88.09,0.0
Refreshments,Eric Fitzgerald,20-10-2013 12:43,20-Oct-13,27-Oct-13,251.98,251.98,0.0
,Eric Hoffman,11-02-2016 20:32,11-Feb-16,12-Mar-16,1183.5,1183.5,0.0
,Eric Montgomery,15-05-2014 21:56,11-Apr-14,11-May-14,25.95,25.95,0.0
,Eric Phillips,09-12-2016 13:30,30-Nov-16,14-Dec-16,69.05,69.05,0.0
,Eric Strickland,13-09-2017 13:59,13-Sep-17,31-Oct-17,428.34,428.34,0.0
,Eric Wilson,15-01-2015 11:54,15-Jan-15,14-Feb-15,73.98,73.98,0.0
,Eric Yang,15-10-2014 02:19,15-Oct-14,14-Nov-14,462.78,462.78,0.0
,Erica Abbott,31-07-2015 08:50,31-Jul-15,14-Aug-15,61.98,61.98,0.0
,Erin Bond,09-05-2016 10:09,30-Apr-16,20-May-16,88.46,88.46,0.0
AX bill,Erin Jones,03-07-2017 10:53,30-Jun-17,21-Jul-17,6.71,6.71,0.0
,Faith Zimmerman,07-04-2014 06:29,07-Apr-14,07-May-14,175.98,175.98,0.0
,Frances Marquez,03-03-2017 00:53,03-Mar-17,17-Mar-17,301.98,301.98,0.0
,Frank Thomas,07-10-2015 12:09,05-Oct-15,04-Nov-15,48.43,48.43,0.0
Fuel for company vehicle,Gabriel Smith,08-05-2014 06:03,08-May-14,15-May-14,48.16,48.16,0.0
,Gabriella Riggs,20-08-2017 19:13,20-Aug-17,21-Aug-17,224.4,221.98,2.42
,Gabrielle Herrera,11-05-2017 14:22,02-May-17,01-Jun-17,37.98,37.98,0.0
Campaign Monitor,Garrett Bennett,01-08-2014 16:06,01-Aug-14,15-Aug-14,13.92,13.92,0.0
,Gary Lopez,28-10-2013 10:59,28-Oct-13,11-Nov-13,133.98,133.98,0.0
,Gavin Shelton,14-05-2015 08:59,14-May-15,13-Jun-15,151.98,151.98,0.0
,George Moss,28-07-2017 08:17,11-Jul-17,10-Aug-17,154.47,154.47,0.0
,Gerald Johnson,15-11-2016 14:57,15-Nov-16,15-Dec-16,1801.98,1801.98,0.0
,Gerald Sutton,08-01-2016 11:08,08-Jan-16,22-Jan-16,931.98,931.98,0.0
,Gina Adkins,08-03-2017 10:09,28-Feb-17,17-Mar-17,187.65,187.65,0.0
,Gina Middleton,24-01-2017 10:22,23-Jan-17,28-Feb-17,52.68,52.68,0.0
,Gloria Lewis,19-07-2017 10:08,19-Jul-17,18-Aug-17,869.1,869.1,0.0
,Gloria Perkins,26-07-2017 10:49,26-Jul-17,25-Aug-17,932.93,932.93,0.0
,Grace Walton,07-03-2017 11:06,07-Mar-17,06-Apr-17,9601.98,9601.98,0.0
Parts for maintenance of Company Car,Greg Thompson,19-10-2012 15:20,19-Oct-12,18-Nov-12,421.98,421.98,0.0
,Gregory Harris,07-07-2016 11:37,30-Jun-16,14-Jul-16,197.92,197.92,0.0
,Gregory Hickman,06-09-2016 14:40,06-Sep-16,13-Sep-16,155.58,155.58,0.0
,Gregory Ryan,06-03-2017 18:23,06-Mar-17,05-Apr-17,121.98,121.98,0.0
,Gregory Tapia,14-08-2017 13:06,14-Aug-17,28-Aug-17,73.26,73.26,0.0
,Gregory Tate,10-03-2016 09:07,29-Feb-16,30-Mar-16,2089.98,2089.98,0.0
,Hailey Allen,30-01-2017 12:13,01-Feb-17,31-Mar-17,443.82,443.82,0.0
,Hailey Gonzales,03-03-2016 14:04,24-Feb-16,09-Mar-16,101.12,101.12,0.0
,Haley Miller,01-06-2017 15:51,01-Jun-17,01-Jul-17,2223.08,2173.48,49.6
,Haley Morales,20-05-2015 08:54,20-May-15,03-Jun-15,49.98,49.98,0.0
,Hannah Evans,07-11-2015 09:19,28-Oct-15,27-Nov-15,43.98,43.98,0.0
,Hannah Johnson,19-10-2016 10:00,20-Oct-16,08-Dec-16,988.38,988.38,0.0
,Hannah Jones,29-01-2016 14:27,12-Jan-16,11-Feb-16,1201.98,1201.98,0.0
,Hannah Taylor,14-08-2012 15:41,14-Aug-12,28-Aug-12,181.98,181.98,0.0
,Harry White,03-02-2017 18:35,03-Feb-17,05-Mar-17,50.48,50.48,0.0
,Heather Caldwell,07-08-2013 22:10,07-Aug-13,15-Aug-13,192.63,192.63,0.0
Fuel ,Heather Evans,16-07-2013 21:22,20-Jul-13,27-Jul-13,451.98,451.98,0.0
,Heather Maddox,17-08-2014 14:58,12-Aug-14,11-Sep-14,28.98,28.98,0.0
Food for foyer,Heather Palmer,24-10-2017 09:10,23-Oct-17,22-Nov-17,16.98,16.98,0.0
,Heather Rose,08-12-2015 18:46,08-Dec-15,22-Dec-15,200.98,200.98,0.0
,Heather Santos,04-07-2016 14:59,01-Jul-16,31-Jul-16,331.98,331.98,0.0
,Heather Stone,22-10-2015 10:20,01-Nov-15,17-Nov-15,282.78,282.78,0.0
,Heather Stuart,01-07-2015 09:22,24-Jun-15,24-Jul-15,56.98,56.98,0.0
,Heather Sullivan,23-03-2017 07:30,23-Mar-17,30-Mar-17,234.32,234.32,0.0
,Hector Lang,08-06-2012 17:38,14-Jun-12,14-Jul-12,380.08,380.08,0.0
,Heidi Mcpherson,19-11-2015 15:05,18-Nov-15,18-Dec-15,282.13,282.13,0.0
,Holly Young,12-01-2017 11:12,12-Jan-17,11-Feb-17,70.49,70.49,0.0
,Hunter Hutchinson,06-06-2015 09:27,06-Jun-15,06-Jul-15,212.48,212.48,0.0
,Isaac Hill,15-12-2014 09:29,12-Dec-14,11-Jan-15,32.09,25.42,6.67
,Isaac Perez,19-01-2016 15:52,19-Jan-16,18-Feb-16,181.98,181.98,0.0
,Isaac Wheeler,29-06-2015 09:38,29-Jun-15,13-Jul-15,169.98,169.98,0.0
,Jacob Barnes,22-02-2017 12:25,22-Feb-17,24-Mar-17,225.47,225.47,0.0
,Jacob Flores,04-08-2016 10:23,31-Jul-16,19-Aug-16,298.74,298.74,0.0
,Jacob Gonzalez,14-07-2015 11:10,14-Jul-15,28-Jul-15,83.7,83.7,0.0
,Jacob Tucker,11-04-2017 08:13,06-Apr-17,31-May-17,433.98,433.98,0.0
30% Learner licence fee,Jacob Williams,14-04-2015 12:20,14-Apr-15,14-May-15,401.98,401.98,0.0
,Jacqueline Russell,05-04-2017 13:12,05-Apr-17,05-May-17,1184.98,1184.98,0.0
,Jacqueline Wood,26-08-2014 07:00,26-Aug-14,01-Sep-14,1141.24,127.98,1013.26
,Jade Sparks,13-07-2017 11:07,13-Jul-17,12-Aug-17,3097.5,3097.5,0.0
,James Allen,11-01-2017 17:21,11-Jan-17,18-Jan-17,204.48,204.48,0.0
,James Brown,17-04-2015 08:03,31-Mar-15,15-Apr-15,28.98,28.98,0.0
,James Cook,28-03-2015 00:54,28-Mar-15,11-Apr-15,301.98,301.98,0.0
,James Garcia,10-05-2017 07:59,10-May-17,09-Jun-17,61.98,61.98,0.0
,James Harris,28-08-2015 12:32,27-Aug-15,26-Sep-15,80.55,80.55,0.0
,James Jacobson,04-05-2017 11:16,30-Apr-17,19-May-17,163.06,163.06,0.0
,James Jimenez DDS,07-09-2016 08:46,31-Aug-16,16-Sep-16,75.5,75.5,0.0
,James Johnson,16-11-2016 16:06,16-Nov-16,16-Dec-16,48.78,48.78,0.0
,James Jones,22-04-2016 09:00,22-Apr-16,22-May-16,721.98,721.98,0.0
,James King,28-09-2017 08:45,20-Sep-17,20-Oct-17,26.98,26.98,0.0
,James Lopez,08-12-2015 13:53,08-Dec-15,21-Dec-15,811.98,811.98,0.0
,James Miranda,19-07-2017 13:25,01-Aug-17,31-Aug-17,307.98,307.98,0.0
,James Mitchell,27-06-2017 14:58,26-Jun-17,26-Jul-17,27.96,16.98,10.98
,James Russell,13-01-2014 13:06,13-Jan-14,20-Jan-14,129.98,129.98,0.0
,James Walker,02-10-2015 12:18,25-Sep-15,25-Oct-15,164.27,164.27,0.0
,Jamie Carroll,23-07-2017 22:41,23-Jul-17,24-Jul-17,199.82,199.82,0.0
Monthly rent,Jane Glenn,15-03-2017 11:28,15-Mar-17,31-Mar-17,2617.98,2617.98,0.0
,Janet Edwards,13-11-2015 14:12,04-Nov-15,04-Dec-15,188.46,188.46,0.0
,Janet Riley,11-05-2017 14:19,02-May-17,01-Jun-17,49.98,49.98,0.0
,Janice Anderson,26-09-2013 19:52,20-Sep-13,04-Oct-13,423.18,423.18,0.0
,Janice Cole,12-02-2015 14:29,01-Dec-14,31-Dec-14,201.98,41.98,160.0
,Janice Wang,15-02-2017 08:53,15-Feb-17,01-Mar-17,121.98,121.98,0.0
,Jared Walker,09-04-2015 13:36,08-Apr-15,08-May-15,70.78,70.78,0.0
Delivery,Jasmine Willis,22-11-2016 15:57,22-Nov-16,23-Nov-16,241.98,241.98,0.0
,Jasmine Wood,01-08-2017 09:24,27-Jul-17,03-Aug-17,234.31,234.31,0.0
,Jason Banks Jr.,04-05-2017 16:16,04-May-17,03-Jun-17,67.98,67.98,0.0
,Jason Holt,04-10-2016 17:27,04-Oct-16,11-Oct-16,224.6,224.6,0.0
Water Bottle - large,Jason Mooney,06-01-2015 13:06,06-Jan-15,05-Feb-15,61444.38,61444.38,0.0
,Jason Sanchez,16-12-2015 16:09,11-Dec-15,25-Dec-15,35.34,35.34,0.0
,Jason Schultz,04-03-2014 10:41,04-Mar-14,03-Apr-14,170.46,170.46,0.0
,Javier Robertson,04-08-2014 09:57,04-Aug-14,03-Sep-14,35.58,35.58,0.0
,Jay Goodman,19-02-2014 16:33,19-Feb-14,21-Mar-14,1681.98,1681.98,0.0
,Jay Tyler,18-02-2016 14:55,18-Feb-16,19-Mar-16,4731.98,4731.98,0.0
,Jeanette Morales,04-10-2016 13:12,04-Oct-16,03-Nov-16,5401.98,5401.98,0.0
,Jeff Craig,05-01-2015 09:21,05-Jan-15,30-Jan-15,307.98,307.98,0.0
Food for YP,Jeffrey Brooks Jr.,08-11-2014 14:29,08-Nov-14,08-Dec-14,2611.98,2611.98,0.0
,Jeffrey Gutierrez,04-12-2015 14:46,04-Dec-15,01-Jan-16,76.98,76.98,0.0
Myfonts,Jeffrey Jones,24-09-2015 23:53,25-Sep-15,09-Oct-15,19.98,19.98,0.0
,Jennifer Blackwell,13-04-2017 14:54,12-Apr-17,31-May-17,313.32,313.32,0.0
,Jennifer Calderon,29-09-2015 12:35,28-Sep-15,28-Oct-15,58.45,58.45,0.0
WebEx - support centre services,Jennifer Chapman,29-07-2015 11:50,29-Jul-15,28-Aug-15,433.82,433.82,0.0
,Jennifer Fisher,03-08-2015 09:18,03-Aug-15,02-Sep-15,26.98,26.98,0.0
,Jennifer Fitzgerald,16-05-2017 06:45,16-May-17,15-Jun-17,145.98,145.98,0.0
,Jennifer Franklin,29-01-2014 18:57,29-Jan-14,28-Feb-14,169.98,169.98,0.0
,Jennifer Gates,11-05-2017 14:22,02-May-17,01-Jun-17,61.98,58.38,3.6
,Jennifer Griffin,13-02-2015 11:57,13-Feb-15,15-Mar-15,361.98,361.98,0.0
,Jennifer Hill,26-06-2014 10:55,26-Jun-14,26-Jul-14,25.98,25.98,0.0
,Jennifer Jackson,23-05-2017 07:50,23-May-17,22-Jun-17,481.98,481.98,0.0
,Jennifer Johnson,06-01-2015 18:49,06-Jan-15,05-Feb-15,1027.98,1027.98,0.0
,Jennifer Lin,23-06-2017 12:11,23-Jun-17,31-Jul-17,506.58,506.58,0.0
,Jennifer Lopez,28-10-2016 11:00,28-Oct-16,11-Nov-16,241.98,241.98,0.0
,Jennifer Maldonado,15-01-2014 12:41,31-Dec-13,30-Jan-14,388.98,388.98,0.0
,Jennifer Martin,09-12-2013 14:36,09-Dec-13,08-Jan-14,75.18,75.18,0.0
,Jennifer Miller,07-06-2014 17:40,07-Jun-14,21-Jun-14,21.8,21.8,0.0
,Jennifer Owen,31-07-2013 08:15,31-Jul-13,10-Aug-13,73.98,73.98,0.0
,Jennifer Richardson,01-06-2017 10:52,01-Jun-17,01-Jul-17,901.98,901.98,0.0
,Jennifer Smith,26-08-2015 16:22,26-Aug-15,25-Sep-15,1681.98,1681.98,0.0
,Jennifer Taylor,01-08-2017 12:44,01-Aug-17,31-Aug-17,721.98,721.98,0.0
,Jennifer Valenzuela,31-08-2015 18:17,31-Aug-15,14-Sep-15,369.75,369.75,0.0
,Jennifer Weber,26-07-2017 09:10,26-Jul-17,25-Aug-17,51.48,51.48,0.0
,Jeremy Cummings,14-09-2017 09:20,08-Sep-17,22-Sep-17,369.78,369.78,0.0
,Jeremy Lambert,08-03-2012 12:09,08-Mar-12,07-Apr-12,164.34,164.34,0.0
,Jeremy Rodriguez,05-08-2014 16:27,01-Aug-14,31-Aug-14,1173.81,1173.81,0.0
,Jerry Cox,19-06-2015 13:57,18-Jun-15,18-Jul-15,91.2,91.2,0.0
,Jerry Graham,12-05-2015 09:45,12-May-15,26-May-15,25.98,25.98,0.0
,Jessica Anderson,18-11-2015 15:17,21-Oct-15,20-Nov-15,2224.7,2224.7,0.0
,Jessica Carpenter,05-07-2017 08:47,30-Jun-17,21-Jul-17,170.17,170.17,0.0
,Jessica Clark,09-10-2016 15:19,06-Sep-16,06-Oct-16,380.15,380.15,0.0
,Jessica Evans,29-03-2017 12:39,27-Mar-17,10-Apr-17,88.38,88.38,0.0
,Jessica Francis,23-12-2015 14:11,23-Dec-15,22-Jan-16,678.78,58.38,620.4
,Jessica Garcia,31-03-2017 11:11,31-Mar-17,30-Apr-17,2131.54,2131.54,0.0
,Jessica Green,28-10-2015 12:57,27-Oct-15,26-Nov-15,70.98,70.98,0.0
,Jessica Hansen,15-09-2015 12:40,15-Sep-15,21-Sep-15,87.45,87.45,0.0
,Jessica Lee,22-09-2016 17:54,22-Sep-16,28-Sep-16,298.37,298.37,0.0
,Jessica Phillips,10-02-2016 20:01,10-Feb-16,11-Mar-16,2535.66,2535.66,0.0
Book-keeping (July & Aug),Jessica Ramsey,29-03-2016 16:42,29-Mar-16,28-Apr-16,1441.98,1441.98,0.0
,Jessica Wheeler,12-04-2013 18:36,17-Apr-13,17-May-13,332.85,332.85,0.0
,Jessica White,12-03-2014 15:32,02-Jan-14,16-Feb-14,376.98,376.98,0.0
,Jill Allen,18-03-2016 13:56,18-Mar-16,17-Apr-16,861.18,861.18,0.0
,Jim Scott,17-10-2017 19:24,17-Oct-17,24-Oct-17,389.9,389.9,0.0
,Jimmy Harris,01-02-2017 11:03,01-Feb-17,03-Mar-17,1981.98,1981.98,0.0
,Jimmy Kim,27-10-2016 10:36,06-Sep-16,06-Oct-16,56.98,56.98,0.0
,Jo Hess,16-06-2015 12:56,16-Jun-15,30-Jun-15,103.98,103.98,0.0
,Jo Thomas,22-08-2016 12:21,01-Jun-16,15-Jun-16,73.98,73.98,0.0
,Jo White,06-09-2017 13:26,31-Aug-17,15-Sep-17,32.32,32.32,0.0
,Joan Ball,09-09-2015 13:06,20-Aug-15,19-Sep-15,979.09,979.09,0.0
,Joan Stafford,22-05-2017 16:21,22-May-17,29-May-17,233.28,233.28,0.0
,Joanna Jenkins,14-01-2016 08:12,16-Dec-15,15-Jan-16,64.38,64.38,0.0
,Joanne Miller,21-06-2016 20:04,21-Jun-16,21-Jul-16,4249.26,4249.26,0.0
Book-keeping (Sept),Jody Grant,17-03-2016 14:49,14-Mar-16,13-Apr-16,261.98,261.98,0.0
,Jody Long,03-06-2015 13:58,02-Jun-15,02-Jul-15,78.78,78.78,0.0
,Jody Rodriguez,24-10-2017 08:43,20-Oct-17,19-Nov-17,101.98,101.98,0.0
,Joel Blackwell,21-09-2015 12:47,18-Sep-15,18-Oct-15,73.68,73.68,0.0
,Joel Garcia,08-06-2017 23:31,08-Jun-17,08-Jul-17,1435.98,1435.98,0.0
,John Bennett,22-09-2015 17:31,21-Sep-15,21-Oct-15,66.15,66.15,0.0
Office stationery ,John Hayes,02-03-2016 10:58,01-Mar-16,31-Mar-16,6706.98,6706.98,0.0
,John Lewis,27-01-2016 09:22,13-Jan-16,12-Feb-16,90.18,90.18,0.0
Delivery,John Mack PhD,21-09-2016 12:40,26-Sep-16,26-Oct-16,4081.98,4081.98,0.0
,John Michael,06-09-2014 10:34,23-Jul-14,22-Aug-14,26.98,26.98,0.0
,John Mora,18-08-2014 11:09,18-Aug-14,25-Aug-14,142.38,142.38,0.0
,John Newton,24-08-2017 21:11,24-Aug-17,23-Sep-17,717.18,717.18,0.0
,John Rocha,03-08-2015 11:49,31-Jul-15,30-Aug-15,181.25,181.25,0.0
,John Smith,10-08-2017 01:53,10-Aug-17,24-Aug-17,145.98,145.98,0.0
,John Stone,21-02-2017 13:12,01-Feb-17,03-Mar-17,59.58,59.58,0.0
,John Taylor,28-11-2015 22:29,30-Nov-15,28-Dec-15,1005.18,1005.18,0.0
,John Thomas,14-12-2016 15:25,14-Dec-16,21-Dec-16,543.04,543.04,0.0
,John Vaughn,04-07-2016 11:43,01-Jul-16,15-Jul-16,144.06,144.06,0.0
,Johnny Walker,07-10-2015 13:42,06-Oct-15,05-Nov-15,61.55,61.55,0.0
Drinks & Food,Jon Hayden,01-03-2017 11:10,28-Feb-17,01-Mar-17,281.98,281.98,0.0
,Jonathan Banks,08-12-2015 13:53,08-Dec-15,22-Dec-15,5005.98,5005.98,0.0
,Jonathan Gibbs,08-03-2017 10:11,28-Feb-17,17-Mar-17,233.77,233.77,0.0
,Jonathan Hall,11-03-2015 09:41,11-Mar-15,25-Mar-15,85.98,85.98,0.0
Freight,Jonathan Hunt,18-01-2017 18:21,18-Jan-17,25-Jan-17,97.38,97.38,0.0
,Jonathan Johnson,03-03-2014 12:35,03-Mar-14,17-Mar-14,67.98,67.98,0.0
WebEx - support centre services,Jonathan Martin,22-05-2015 12:09,22-May-15,21-Jun-15,4744.38,4744.38,0.0
,Jonathan Pacheco,11-02-2015 09:46,28-Feb-15,30-Mar-15,225.5,225.5,0.0
,Jonathan West,16-04-2015 13:25,14-Apr-15,14-May-15,41.58,41.58,0.0
,Jonathon French,16-12-2015 20:10,12-Dec-15,11-Jan-16,1321.98,1321.98,0.0
,Jordan Adams,17-06-2016 13:45,09-Jun-16,09-Jul-16,179.04,179.04,0.0
,Jordan Collins,25-07-2017 19:09,25-Jul-17,24-Aug-17,541.98,541.98,0.0
,Jordan Dominguez,26-09-2017 10:37,21-Sep-17,21-Oct-17,26.98,26.98,0.0
,Jordan Franklin,28-11-2016 20:56,29-Oct-16,28-Nov-16,307.75,307.75,0.0
,Jordan Soto,25-09-2015 12:35,30-Jun-15,30-Jul-15,1093.62,1093.62,0.0
,Jorge Keller,19-09-2017 09:51,08-Sep-17,08-Oct-17,106.98,106.98,0.0
,Jose Marquez,04-09-2017 10:32,05-Sep-17,14-Sep-17,3904.31,3904.31,0.0
,Jose Perez,07-05-2014 11:24,01-Apr-14,01-May-14,481.98,51.98,430.0
,Jose Taylor,07-09-2016 10:43,07-Sep-16,07-Oct-16,781.98,781.98,0.0
,Jose Whitney,30-03-2015 08:13,30-Mar-15,29-Apr-15,2934.48,2347.98,586.5
,Joseph Clark,25-04-2017 07:31,25-Apr-17,02-May-17,161.98,161.98,0.0
,Joseph Decker,10-08-2015 20:50,31-Jul-15,21-Aug-15,221.63,221.63,0.0
,Joseph Gregory,07-04-2014 11:53,07-Apr-14,07-May-14,751.98,751.98,0.0
Bank Charges,Joseph Hamilton,14-04-2015 14:19,13-Apr-15,13-May-15,34.9,34.9,0.0
,Joseph Lopez,18-05-2016 09:42,31-Mar-16,14-Apr-16,293.61,293.61,0.0
March rent,Joseph Owens,05-01-2014 15:38,31-Dec-13,30-Jan-14,179.12,30.56,148.56
,Joseph Rose,03-07-2017 11:23,30-Jun-17,21-Jul-17,185.77,185.77,0.0
,Joseph Stewart,27-02-2015 13:25,27-Feb-15,29-Mar-15,379.98,379.98,0.0
,Joseph Sullivan,21-11-2013 16:13,15-Nov-13,29-Nov-13,2347.68,2347.68,0.0
,Joseph Thompson,04-03-2016 00:53,04-Mar-16,18-Mar-16,313.98,313.98,0.0
,Joseph Turner,20-02-2016 14:47,20-Feb-16,04-Mar-16,26.98,26.98,0.0
,Joseph Wyatt,29-09-2016 08:19,29-Sep-16,29-Oct-16,88.14,88.14,0.0
,Joshua Bass,07-08-2017 18:16,07-Aug-17,06-Sep-17,406.38,405.98,0.4
,Joshua Clay,30-11-2015 09:00,30-Nov-15,30-Dec-15,31.98,31.98,0.0
,Joshua Day,20-06-2014 08:55,20-Jun-14,20-Jul-14,712.62,712.61,0.01
,Joshua Evans,19-10-2017 11:40,30-Aug-17,29-Sep-17,56.98,56.98,0.0
,Joshua Garcia,28-11-2016 13:51,20-Nov-16,20-Dec-16,42.18,42.18,0.0
3rd Instalment,Joshua Graham,07-11-2014 09:34,31-Oct-14,30-Nov-14,601.98,601.98,0.0
,Joshua Guerrero,29-09-2014 10:28,29-Sep-14,29-Oct-14,123.66,123.66,0.0
,Joshua Jackson,21-04-2016 23:53,22-Apr-16,06-May-16,61.98,25.98,36.0
,Joshua Riley,26-01-2017 15:28,26-Jan-17,25-Feb-17,397.88,397.88,0.0
,Joshua Thompson,08-03-2016 14:53,08-Mar-16,22-Mar-16,101.34,101.34,0.0
meterage copy cost,Joshua Wood,09-09-2013 14:25,03-Dec-13,02-Jan-14,181.98,181.98,0.0
,Joy Watson,22-09-2015 17:17,21-Sep-15,21-Oct-15,140.77,140.77,0.0
,Juan Ellis,04-11-2016 19:33,04-Nov-16,11-Nov-16,438.78,438.78,0.0
,Juan Jordan,08-06-2017 09:36,06-Jun-17,04-Jul-17,541.69,541.69,0.0
,Judy Long,09-05-2017 08:17,09-May-17,08-Jul-17,638.69,638.69,0.0
,Julie Martin,10-11-2015 13:55,31-Oct-15,30-Nov-15,2588.38,552.88,2035.5
,Julie Norris,05-08-2014 10:12,05-Aug-14,04-Sep-14,43.98,43.98,0.0
,Julie Parker,07-05-2014 10:44,01-Apr-14,01-May-14,475.98,42.98,433.0
,Justin Davis,03-02-2017 15:31,03-Feb-17,05-Mar-17,4116.03,4116.03,0.0
Campaign Monitor,Justin Glass,07-08-2013 14:23,02-Aug-13,01-Sep-13,13.98,3.98,10.0
,Justin Gonzales,14-06-2017 23:53,15-Jun-17,29-Jun-17,121.98,121.98,0.0
,Justin Knight,10-12-2015 13:54,09-Dec-15,08-Jan-16,53.78,53.78,0.0
,Justin Terry,14-07-2016 11:45,07-Jul-16,21-Jul-16,107.58,107.58,0.0
,Kaitlyn Cruz,08-05-2017 14:27,05-May-17,16-Jun-17,2762.16,2762.16,0.0
,Kara Cox,03-08-2016 14:16,03-Aug-16,02-Sep-16,853.98,853.98,0.0
