Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding,Number_of_Days_until_Payment
,Brandi Stanley,01-04-2014 08:16,24-Mar-14,31-Mar-14,741.98,741.98,0.0,22
,Daniel Williams,01-04-2014 10:20,28-Mar-14,11-Apr-14,124.98,124.98,0.0,60
,Daniel Williams,01-04-2014 10:21,28-Mar-14,11-Apr-14,484.38,484.38,0.0,60
,Daniel Williams,01-04-2014 10:58,01-Apr-14,15-Apr-14,12.54,12.54,0.0,56
,Rachel Miller,01-04-2014 12:20,01-Apr-14,08-Apr-14,4166.98,7.98,4159.0,45
,Casey Underwood,01-04-2014 16:00,01-Feb-14,15-Feb-14,4621.98,386.98,4235.0,89
,Michael Schaefer,01-04-2014 16:03,01-Feb-14,15-Feb-14,5581.98,466.98,5115.0,89
,Michelle Jacobson,01-04-2014 16:05,01-Feb-14,15-Feb-14,4621.98,386.98,4235.0,59
,Danny Sanders,01-04-2014 16:07,01-Apr-14,15-Apr-14,73.98,73.98,0.0,22
,Steven Osborne,01-04-2014 16:08,01-Feb-14,15-Feb-14,4621.98,386.98,4235.0,89
,Stacey Henson,01-04-2014 16:59,01-Feb-14,15-Feb-14,2977.98,249.98,2728.0,59
,Mark Hernandez,02-04-2014 07:45,02-Apr-14,09-Apr-14,91.98,91.98,0.0,4
,Michael Pittman,02-04-2014 08:04,31-Mar-14,30-Apr-14,8401.98,8401.98,0.0,37
,Brian Carroll,02-04-2014 08:50,02-Apr-14,16-Apr-14,67.98,67.98,0.0,20
Food for foyer,Joseph Stewart,02-04-2014 09:51,02-Apr-14,02-May-14,15.72,15.72,0.0,1
,Timothy Holmes,02-04-2014 10:26,28-Mar-14,11-Apr-14,573.18,573.18,0.0,60
Subscription,John Oneal,02-04-2014 11:03,02-Apr-14,16-Apr-14,72.98,72.98,0.0,15
Myfonts,Cassandra Ochoa,02-04-2014 11:17,01-Apr-14,15-Apr-14,19.98,19.98,0.0,10
,Eddie Owen,02-04-2014 12:20,01-Apr-14,15-Apr-14,52.98,52.98,0.0,63
,Karen Johnson,02-04-2014 14:46,02-Apr-14,02-May-14,1271.08,1271.08,0.0,3
,Ronald Whitney,02-04-2014 14:51,02-Apr-14,05-Apr-14,5501.98,4501.98,1000.0,26
,Dustin Gonzalez,02-04-2014 17:31,27-Mar-14,30-Mar-14,6736.98,5736.98,1000.0,12
,Veronica Kelley,03-04-2014 08:18,03-Apr-14,03-May-14,3208.95,3208.95,0.0,27
,Jennifer Griffin,03-04-2014 09:50,03-Apr-14,03-May-14,211.98,211.98,0.0,82
,Jennifer Griffin,03-04-2014 09:57,03-Apr-14,03-May-14,434.62,434.62,0.0,82
,Patricia Jones,03-04-2014 10:38,03-Apr-14,31-May-14,815.58,815.58,0.0,68
,Jeffrey Peters,03-04-2014 11:42,03-Apr-14,17-Apr-14,1981.98,1981.98,0.0,33
,Mr. Gary Pittman Jr.,03-04-2014 15:43,03-Apr-14,30-Apr-14,361.98,361.98,0.0,35
,Kenneth Tucker,03-04-2014 19:48,27-Mar-14,26-Apr-14,603.42,603.42,0.0,7
Refreshments,Colton Jones,04-04-2014 10:45,04-Apr-14,11-Apr-14,21.98,21.98,0.0,38
,Rachel Adams,04-04-2014 10:46,09-Jan-14,08-Feb-14,151.98,151.98,0.0,85
,Patrick Benton,04-04-2014 10:59,18-Jan-14,17-Feb-14,181.87,181.87,0.0,76
,Patrick Benton,04-04-2014 11:00,18-Jan-14,17-Feb-14,60.48,60.48,0.0,76
,William Martin,04-04-2014 11:00,03-Mar-14,02-Apr-14,105.48,105.48,0.0,83
,Barbara Davis,04-04-2014 11:18,03-Mar-14,30-Apr-14,87.48,87.48,0.0,83
,Jessica Walters,04-04-2014 11:32,04-Mar-14,03-Apr-14,194.97,194.97,0.0,83
,Kendra Mosley,04-04-2014 11:38,04-Apr-14,11-Apr-14,218.99,148.05,70.94,67
,Ms. Rebecca Drake MD,04-04-2014 11:43,01-Apr-14,01-May-14,181.98,181.98,0.0,112
,Rachel Adams,04-04-2014 12:01,25-Apr-14,25-May-14,73.98,73.98,0.0,24
Annual Fee,Antonio Wilson,05-04-2014 09:52,05-Apr-14,05-May-14,11.36,11.36,0.0,34
,Nathan Rocha,05-04-2014 11:17,04-Apr-14,04-May-14,54.37,54.37,0.0,91
,Cynthia Davis,05-04-2014 11:38,03-Apr-14,03-May-14,56.03,56.03,0.0,58
,Andrew Stewart,05-04-2014 11:41,03-Apr-14,03-May-14,93.63,93.63,0.0,58
,Nathan Rocha,05-04-2014 12:42,31-Mar-14,30-Apr-14,36.93,36.93,0.0,95
,Nicole Taylor,05-04-2014 12:57,31-Mar-14,30-Apr-14,93.73,93.73,0.0,61
,Ashley Moore,05-04-2014 15:21,24-Mar-14,23-Apr-14,36.17,36.17,0.0,68
,Larry Johnson,05-04-2014 15:41,10-Mar-14,09-Apr-14,44.11,44.11,0.0,82
,Robert Ortega,05-04-2014 18:56,20-Feb-14,22-Mar-14,151.98,151.98,0.0,46
,Mr. Robert Wells,06-04-2014 22:00,01-Apr-14,01-May-14,39.98,39.98,0.0,27
,Billy Barnes,07-04-2014 06:34,07-Apr-14,07-May-14,93.18,93.18,0.0,17
,Benjamin Morris,07-04-2014 09:13,07-Apr-14,30-Apr-14,889.02,889.02,0.0,9
,Brian Carroll,07-04-2014 10:44,07-Apr-14,21-Apr-14,67.98,67.98,0.0,17
,David Mckee,07-04-2014 13:14,05-Mar-14,04-Apr-14,30001.98,30001.98,0.0,40
,Susan Pacheco,07-04-2014 19:33,01-Feb-14,03-Mar-14,341.98,341.98,0.0,89
,Christopher Wilson,07-04-2014 22:26,04-Apr-14,18-Apr-14,25.92,25.92,0.0,20
,Steven Smith,07-04-2014 23:18,04-Apr-14,18-Apr-14,204.63,204.63,0.0,13
,Bryan Mccormick,08-04-2014 00:02,04-Apr-14,18-Apr-14,73.08,73.08,0.0,20
,Erin Reynolds,08-04-2014 00:06,04-Apr-14,18-Apr-14,60.62,60.62,0.0,20
,Wendy Valdez,08-04-2014 08:57,21-Mar-14,24-Mar-14,5996.98,4996.98,1000.0,18
,Kristopher Graham PhD,08-04-2014 09:04,20-Mar-14,23-Mar-14,5696.98,4696.98,1000.0,19
,Kristopher Graham PhD,08-04-2014 09:04,20-Mar-14,23-Mar-14,5696.98,1001.98,4695.0,68
,Ronald Gonzalez,08-04-2014 09:12,19-Mar-14,22-Mar-14,5901.98,1001.98,4900.0,69
,Jason Bishop,08-04-2014 09:33,14-Mar-14,17-Mar-14,5751.98,4751.98,1000.0,75
,Savannah Myers,08-04-2014 09:49,11-Mar-14,14-Mar-14,5801.98,5801.98,0.0,28
,David Martin,08-04-2014 10:11,06-Mar-14,09-Mar-14,5996.98,4996.98,1000.0,33
,Richard Scott,08-04-2014 10:21,01-Mar-14,04-Mar-14,5996.98,5996.98,0.0,38
,George Bond,08-04-2014 10:22,03-Mar-14,06-Mar-14,5796.98,4796.98,1000.0,85
,Tiffany Gray,08-04-2014 15:09,13-Dec-13,12-Jan-14,72.48,72.48,0.0,116
Food for foyer,Nancy Wallace,08-04-2014 15:31,20-Dec-13,19-Jan-14,14.92,14.92,0.0,109
Annual Fee,Jennifer Garcia,08-04-2014 15:44,08-Jan-14,07-Feb-14,11.72,11.72,0.0,90
Annual Fee,Christopher West,08-04-2014 16:22,28-Jan-14,27-Feb-14,11.72,11.72,0.0,70
Annual Fee,Julie Norris,08-04-2014 18:37,20-Feb-14,22-Mar-14,11.72,11.72,0.0,47
,Christopher Burton,08-04-2014 22:22,04-Apr-14,15-Apr-14,33.83,33.83,0.0,5
,Haley Morales,09-04-2014 09:52,09-Apr-14,23-Apr-14,49.98,49.98,0.0,28
,Brian Reilly,09-04-2014 10:23,09-Apr-14,09-May-14,841.98,841.98,0.0,49
,Donna Williams,09-04-2014 11:58,09-Apr-14,09-May-14,1654.38,1654.38,0.0,89
,Denise Campos,09-04-2014 12:21,09-Apr-14,09-May-14,240.68,240.68,0.0,51
,Claire Booth,09-04-2014 13:01,09-Apr-14,23-Apr-14,245.56,245.56,0.0,51
,Brian Grant,09-04-2014 13:43,09-Apr-14,09-May-14,10880.85,10880.85,0.0,51
,Terry Moore,09-04-2014 15:17,09-Apr-14,23-Apr-14,212.01,29.51,182.5,16
,Rachel Wood,09-04-2014 15:36,09-Apr-14,23-Apr-14,316.82,316.82,0.0,51
,Ryan Brooks,09-04-2014 16:57,01-Apr-14,29-Apr-14,462.78,462.78,0.0,35
,Eric Phillips,09-04-2014 17:05,09-Apr-14,23-Apr-14,170.98,170.98,0.0,22
,Jennifer Miller,09-04-2014 18:03,09-Apr-14,23-Apr-14,33.2,33.2,0.0,7
,Haley Miller,10-04-2014 08:04,10-Apr-14,10-May-14,2256.73,2256.73,0.0,55
meterage copy costs,David Reed,10-04-2014 09:06,22-Mar-14,21-Apr-14,114.78,114.78,0.0,65
,Edwin Lee,10-04-2014 09:09,31-Mar-14,30-Apr-14,1233.18,1233.18,0.0,109
,Stephanie Gomez,10-04-2014 09:33,10-Apr-14,17-Apr-14,981.43,169.7,811.73,61
,Samantha Blankenship,10-04-2014 10:50,25-Mar-14,24-Apr-14,86.48,86.48,0.0,62
Studio heating,Paul Franco,10-04-2014 11:08,26-Mar-14,25-Apr-14,111.39,111.39,0.0,61
,Dean Holden,10-04-2014 11:32,31-Mar-14,30-Apr-14,149.98,149.98,0.0,56
,Robin Potts,11-04-2014 07:56,11-Apr-14,11-May-14,781.98,781.98,0.0,74
,William Allen,11-04-2014 08:24,11-Apr-14,14-Apr-14,1585.98,1585.98,0.0,5
,Andrea David,11-04-2014 10:01,11-Apr-14,11-May-14,1201.98,1201.98,0.0,70
,Brian Carroll,11-04-2014 10:23,11-Apr-14,25-Apr-14,67.98,67.98,0.0,69
,Whitney Holt,11-04-2014 10:44,31-Mar-14,30-Apr-14,226.38,226.38,0.0,46
,Jimmy Kim,11-04-2014 11:18,02-Apr-14,02-May-14,56.98,56.98,0.0,12
,Tyler Ruiz,11-04-2014 13:50,10-Apr-14,10-May-14,51.98,51.98,0.0,4
,Bailey Hodges,11-04-2014 15:09,11-Apr-14,11-May-14,2939.58,501.98,2437.6,96
,Matthew Hernandez,12-04-2014 12:12,12-Apr-14,12-May-14,2482.38,1301.98,1180.4,6
,Matthew Hernandez,12-04-2014 12:12,12-Apr-14,12-May-14,2482.38,950.08,1532.3,15
,Daniel Williams,13-04-2014 10:52,04-Apr-14,18-Apr-14,330.66,330.66,0.0,53
,Daniel Williams,13-04-2014 11:19,04-Apr-14,18-Apr-14,152.58,152.58,0.0,53
,Rebecca Li,13-04-2014 11:50,07-Apr-14,07-May-14,63.29,63.29,0.0,86
,Nathan Rocha,13-04-2014 11:54,07-Apr-14,07-May-14,61.77,61.77,0.0,88
,Nathan Rocha,13-04-2014 12:02,08-Apr-14,08-May-14,60.2,60.2,0.0,87
,Rachel Butler,13-04-2014 12:36,10-Apr-14,10-May-14,46.36,46.36,0.0,52
,Cynthia Davis,13-04-2014 12:40,10-Apr-14,10-May-14,62.73,62.73,0.0,51
,Cameron Ball,13-04-2014 12:41,10-Apr-14,10-May-14,166.51,166.51,0.0,51
,Laura Rowland,13-04-2014 12:59,01-Apr-14,27-Apr-14,51.48,51.48,0.0,49
Studio heating,Nathan Rocha,13-04-2014 13:04,11-Apr-14,11-May-14,112.57,112.57,0.0,84
,April Baker,13-04-2014 14:14,09-Apr-14,09-May-14,82.07,82.07,0.0,86
,Douglas Lopez,13-04-2014 18:56,13-Apr-14,18-Apr-14,1201.98,1201.98,0.0,4
,Natalie Robles,14-04-2014 06:12,14-Apr-14,21-Apr-14,301.98,301.98,0.0,10
,Benjamin Jackson,14-04-2014 08:40,14-Apr-14,14-May-14,3595.98,1001.98,2594.0,46
,Gregory Tucker,14-04-2014 08:56,14-Apr-14,28-Apr-14,73.98,73.98,0.0,24
,Matthew Mitchell,14-04-2014 09:00,14-Apr-14,28-Apr-14,481.98,481.98,0.0,23
,Brian Carroll,14-04-2014 09:15,14-Apr-14,28-Apr-14,67.98,67.98,0.0,23
,Christopher Taylor,14-04-2014 10:12,11-Apr-14,31-May-14,551.98,551.98,0.0,61
,Stephanie Foster,14-04-2014 14:01,04-Apr-14,04-May-14,24.48,24.48,0.0,33
,Christina Goodwin,14-04-2014 14:37,10-Apr-14,26-May-14,415.98,415.98,0.0,48
,Mark Butler,14-04-2014 14:44,11-Apr-14,11-May-14,50.28,50.28,0.0,25
,Patricia Hogan,14-04-2014 15:01,08-Apr-14,08-May-14,286.98,286.98,0.0,6
,Casey Underwood,14-04-2014 20:05,07-Mar-14,21-Mar-14,208.11,208.11,0.0,55
,Alyssa Rivera,14-04-2014 21:38,07-Mar-14,21-Mar-14,64.12,64.12,0.0,84
,Miguel Black,14-04-2014 21:40,07-Mar-14,21-Mar-14,124.95,124.95,0.0,55
,Amy Smith,15-04-2014 06:33,15-Apr-14,22-Apr-14,1405.98,1405.98,0.0,13
,Ryan Brooks,15-04-2014 10:42,15-Apr-14,13-May-14,125.53,125.53,0.0,43
,Paul Thomas,15-04-2014 13:34,15-Apr-14,15-May-14,43.98,43.98,0.0,55
Company Fuel ,Catherine Bowers,15-04-2014 14:48,15-Apr-14,15-May-14,10872.1,10872.1,0.0,49
Company Fuel ,Catherine Bowers,15-04-2014 15:11,15-Apr-14,15-May-14,29330.84,29330.84,0.0,49
,Ms. Rebecca Drake MD,15-04-2014 15:16,15-Apr-14,15-May-14,181.98,181.98,0.0,31
Company Fuel ,Catherine Bowers,15-04-2014 15:23,15-Apr-14,15-May-14,5341.9,5341.9,0.0,49
,Joshua Day,16-04-2014 13:07,04-Apr-14,04-May-14,664.34,664.34,0.0,44
,Stephanie Mckenzie,16-04-2014 13:10,28-Mar-14,27-Apr-14,1416.48,1416.48,0.0,28
,Joshua Day,16-04-2014 13:11,28-Mar-14,27-Apr-14,1108.98,1108.98,0.0,28
,Joshua Day,16-04-2014 13:27,22-Mar-14,21-Apr-14,766.73,766.73,0.0,34
,Eddie Frazier,17-04-2014 02:31,17-Apr-14,18-Apr-14,35.44,35.44,0.0,5
,Brittany Sanchez,17-04-2014 10:48,14-Apr-14,14-May-14,1057.38,1057.38,0.0,50
,Kelly Gonzalez,17-04-2014 11:55,14-Jan-14,13-Feb-14,566.98,566.98,0.0,100
,Justin Ray,17-04-2014 12:25,01-Feb-14,03-Mar-14,1165.87,1165.87,0.0,86
,Matthew Peterson,17-04-2014 12:52,17-Apr-14,17-May-14,55.98,55.98,0.0,28
,Wendy Anderson,17-04-2014 15:32,17-Apr-14,17-May-14,241.92,241.92,0.0,29
,Linda Henry,17-04-2014 16:18,17-Apr-14,01-May-14,1171.98,1171.98,0.0,12
,Adam Anderson,17-04-2014 20:30,14-Apr-14,14-May-14,51.48,51.48,0.0,47
Freight,Jim Scott,17-04-2014 20:38,17-Apr-14,18-Apr-14,95.42,75.42,20.0,7
,Daniel Williams,18-04-2014 17:59,11-Apr-14,25-Apr-14,170.7,170.7,0.0,75
,Daniel Williams,18-04-2014 19:25,11-Apr-14,25-Apr-14,305.4,305.4,0.0,75
Amazon UK,Pamela Brown,19-04-2014 14:13,14-Apr-14,14-May-14,14.48,14.48,0.0,79
,Nathan Rocha,19-04-2014 14:47,16-Apr-14,16-May-14,108.08,108.08,0.0,79
,Kenneth Brown,19-04-2014 14:50,16-Apr-14,16-May-14,73.01,73.01,0.0,45
,Pamela Brown,19-04-2014 15:07,17-Apr-14,17-May-14,64.98,64.98,0.0,76
,Michele Brewer,19-04-2014 15:11,17-Apr-14,17-May-14,474.48,474.48,0.0,81
,Kyle Strickland,19-04-2014 18:06,18-Apr-14,18-May-14,108.9,108.9,0.0,75
,Nathan Rocha,19-04-2014 18:08,18-Apr-14,18-May-14,170.16,170.16,0.0,77
,Crystal Davis,20-04-2014 03:05,19-Apr-14,20-Apr-14,343.69,343.69,0.0,3
,Angela Cameron,20-04-2014 08:55,19-May-14,18-Jun-14,21121.98,21121.98,0.0,33
Food for Course,Timothy Hart,21-04-2014 10:34,21-Apr-14,21-May-14,3601.98,3601.98,0.0,9
,Meredith Johnston,21-04-2014 12:44,12-Apr-14,12-May-14,106.93,106.93,0.0,44
,Heather Davis,21-04-2014 12:48,09-Apr-14,09-May-14,186.67,186.67,0.0,47
,Joshua Reese DDS,21-04-2014 14:22,11-Mar-14,10-Apr-14,122.94,122.94,0.0,76
,Craig Fitzgerald,21-04-2014 14:45,14-Apr-14,14-May-14,53.64,53.64,0.0,42
Stationery ,Maria Ortiz,22-04-2014 07:00,22-Apr-14,29-Apr-14,801.98,801.98,0.0,20
Freight,Michelle Marquez,22-04-2014 07:07,22-Apr-14,29-Apr-14,76.98,76.98,0.0,8
,Elaine Simpson,22-04-2014 09:40,10-Apr-14,10-May-14,126.18,126.18,0.0,12
,Tony Jones,22-04-2014 10:48,22-Apr-14,22-May-14,1788.66,1788.66,0.0,100
,Mrs. Amanda Carroll,22-04-2014 11:03,14-Apr-14,14-May-14,265.98,265.98,0.0,8
,William Leon,22-04-2014 11:27,15-Apr-14,15-May-14,151.98,151.98,0.0,9
,Clinton Burton,22-04-2014 11:38,17-Apr-14,17-May-14,56.98,56.98,0.0,14
,Andrea Flores,22-04-2014 12:07,18-Apr-14,18-May-14,8133.92,8133.92,0.0,88
,Teresa Higgins,22-04-2014 12:16,17-Apr-14,17-May-14,441.53,441.53,0.0,39
,Devin Wilson,22-04-2014 14:17,31-Mar-14,30-Apr-14,77.58,77.58,0.0,56
,Lori Taylor,22-04-2014 14:57,22-Apr-14,22-May-14,2521.98,2521.98,0.0,36
,Rebecca Ramirez,22-04-2014 21:19,22-Apr-14,29-Apr-14,181.98,181.98,0.0,6
,Daniel Williams,23-04-2014 09:02,18-Apr-14,02-May-14,343.32,343.32,0.0,68
,Eugene Zhang,23-04-2014 09:12,23-Apr-14,30-Apr-14,223.98,223.98,0.0,54
,Daniel Williams,23-04-2014 09:18,18-Apr-14,02-May-14,215.04,215.04,0.0,68
,Daniel Williams,23-04-2014 09:38,18-Apr-14,02-May-14,106.38,106.38,0.0,68
,Lisa Huynh,23-04-2014 10:32,01-May-14,08-May-14,35.17,35.17,0.0,95
,Monica Mendoza,23-04-2014 10:36,01-May-14,08-May-14,54.06,54.06,0.0,95
,Timothy Holmes,23-04-2014 10:56,18-Apr-14,02-May-14,615.18,615.18,0.0,67
,Daniel Allen,23-04-2014 14:55,23-Apr-14,07-May-14,1047.7,1047.7,0.0,35
,Donna Willis,23-04-2014 15:34,23-Apr-14,23-May-14,213.66,213.66,0.0,119
,Donna Willis,23-04-2014 15:46,23-Apr-14,23-May-14,202.14,202.14,0.0,119
,Donna Willis,23-04-2014 15:49,23-Apr-14,23-May-14,102.97,102.97,0.0,119
,Vicki Ortiz,24-04-2014 09:13,24-Apr-14,24-May-14,171.18,171.18,0.0,118
,Vicki Ortiz,24-04-2014 09:15,24-Apr-14,24-May-14,171.18,171.18,0.0,118
,Kendra Watson,24-04-2014 09:47,24-Apr-14,24-May-14,61.98,61.98,0.0,43
,Kendra Watson,24-04-2014 10:05,24-Apr-14,24-May-14,61.98,61.98,0.0,43
,William Lee,24-04-2014 10:28,21-Apr-14,21-May-14,55.01,55.01,0.0,74
,April Baker,24-04-2014 10:31,23-Apr-14,23-May-14,41.45,41.45,0.0,72
,Ms. Rebecca Drake MD,24-04-2014 10:32,24-Apr-14,24-May-14,301.98,301.98,0.0,22
,Brenda Brown,24-04-2014 13:47,24-Apr-14,24-May-14,5123.36,5123.36,0.0,53
,Lauren Collins,24-04-2014 17:04,24-Apr-14,24-May-14,185.54,185.54,0.0,53
,Taylor Lawson,24-04-2014 22:50,25-Apr-14,26-Apr-14,604.28,604.28,0.0,2
,Timothy Rangel,25-04-2014 06:35,25-Apr-14,02-May-14,181.98,181.98,0.0,3
,Amber Sanders,25-04-2014 10:22,25-Apr-14,09-May-14,73.98,73.98,0.0,56
,Erica Abbott,25-04-2014 10:30,25-Apr-14,09-May-14,61.98,61.98,0.0,32
,Erica Abbott,25-04-2014 10:33,25-Apr-14,09-May-14,61.98,61.98,0.0,24
,Ronald Martinez DDS,25-04-2014 11:27,09-Apr-14,09-May-14,2837.63,2837.63,0.0,16
Train journey to London,Martin Pope,25-04-2014 11:30,25-Apr-14,25-May-14,331.98,331.98,0.0,83
,Brad Nolan,25-04-2014 11:42,24-Mar-14,23-Apr-14,27.18,27.18,0.0,63
,Charles Tyler,25-04-2014 11:53,25-Apr-14,09-May-14,21.98,21.98,0.0,5
,Shannon Dennis,25-04-2014 12:15,25-Apr-14,09-May-14,1741.98,1741.98,0.0,33
,Joshua Martinez,25-04-2014 13:22,25-Apr-14,25-May-14,45.48,45.48,0.0,31
Freight,Michelle Landry,25-04-2014 13:26,25-Apr-14,25-May-14,96.33,96.33,0.0,31
,Katie Sosa,25-04-2014 13:40,25-Apr-14,25-May-14,86.48,86.48,0.0,31
,John Mora,25-04-2014 13:43,25-Apr-14,25-May-14,336.78,336.78,0.0,6
,Alan Marshall,25-04-2014 14:45,25-Apr-14,25-May-14,163.98,163.98,0.0,76
,Ms. Rebecca Drake MD,25-04-2014 15:02,25-Apr-14,25-May-14,381.98,381.98,0.0,21
,William Jackson,25-04-2014 16:46,25-Apr-14,25-May-14,103.08,103.08,0.0,82
,William Jackson,25-04-2014 16:51,25-Apr-14,25-May-14,75.18,75.18,0.0,82
,Nathan Rocha,26-04-2014 09:26,23-Apr-14,23-May-14,39.85,39.85,0.0,72
,Cameron Ball,26-04-2014 09:37,24-Apr-14,24-May-14,134.93,134.63,0.3,37
,Katherine Smith,26-04-2014 09:47,24-Apr-14,24-May-14,92.82,92.82,0.0,37
,Sara Walker,26-04-2014 11:12,25-Apr-14,31-May-14,79.98,79.98,0.0,82
,Eddie Frazier,27-04-2014 19:00,28-Apr-14,29-Apr-14,36.94,36.94,0.0,7
,Karina Moses,28-04-2014 09:15,28-Apr-14,12-May-14,721.98,721.98,0.0,29
,Ms. Rebecca Drake MD,28-04-2014 10:24,28-Apr-14,28-May-14,301.98,301.98,0.0,18
,Jennifer Hughes,28-04-2014 12:37,01-Apr-14,04-Apr-14,6796.98,5796.98,1000.0,27
,Taylor Wheeler,28-04-2014 13:16,28-Apr-14,01-May-14,5996.98,1001.98,4995.0,29
,Ashley Duncan,28-04-2014 13:18,24-Apr-14,27-Apr-14,6201.98,6201.98,0.0,4
,Joshua Lowery,28-04-2014 13:28,14-Apr-14,17-Apr-14,5996.98,1001.98,4995.0,14
,Glenn Roberts,28-04-2014 13:45,03-Apr-14,06-Apr-14,5996.98,4996.98,1000.0,25
,Daniel Allen,28-04-2014 15:36,28-Apr-14,12-May-14,1650.66,1.99,1648.67,36
,William Jackson,28-04-2014 15:42,28-Apr-14,31-May-14,93.78,93.78,0.0,79
,Linda Chapman,28-04-2014 16:16,28-Apr-14,05-May-14,230.58,230.58,0.0,42
Annual Fee,Kelly Jones,28-04-2014 17:06,28-Apr-14,12-May-14,11.98,11.98,0.0,1
,Lucas Dillon,28-04-2014 21:16,23-Apr-14,23-May-14,73.45,73.45,0.0,45
,Trevor Stafford,28-04-2014 21:36,30-Apr-14,07-May-14,187.98,187.98,0.0,19
,Brian Carroll,29-04-2014 09:32,29-Apr-14,13-May-14,67.98,67.98,0.0,8
,Daniel Fry,29-04-2014 09:54,29-Apr-14,13-May-14,629.7,629.7,0.0,70
,Michael Collins,29-04-2014 10:44,01-May-14,30-Jun-14,442.98,442.98,0.0,67
,Kyle Hendrix,29-04-2014 10:53,29-Apr-14,29-May-14,18523.26,18523.26,0.0,9
,Ms. Rebecca Drake MD,29-04-2014 11:35,29-Apr-14,29-May-14,181.98,181.98,0.0,17
,Lauren White,29-04-2014 12:03,29-Apr-14,13-May-14,4801.98,4801.98,0.0,15
,Ms. Rebecca Drake MD,29-04-2014 13:25,29-Apr-14,29-May-14,201.98,201.98,0.0,17
,Haley Morales,29-04-2014 14:55,29-Apr-14,13-May-14,133.98,133.98,0.0,28
,Haley Morales,29-04-2014 14:58,29-Apr-14,13-May-14,133.98,133.98,0.0,28
,Andrew Fowler,29-04-2014 17:23,29-Apr-14,13-May-14,28.98,28.98,0.0,1
,Curtis Mcmahon,29-04-2014 21:54,29-Apr-14,29-May-14,126.62,126.62,0.0,6
,Katherine Cox MD,30-04-2014 09:41,30-Apr-14,30-May-14,721.98,721.98,0.0,40
,Maria Lewis,30-04-2014 09:45,09-Apr-14,09-May-14,330.78,330.78,0.0,106
,Jordan Soto,30-04-2014 10:45,09-Apr-14,09-May-14,921.78,921.78,0.0,100
,Edwin Lee,30-04-2014 10:51,23-Apr-14,23-May-14,601.45,601.45,0.0,86
,Michael Francis,30-04-2014 10:53,23-Apr-14,23-May-14,168.78,168.78,0.0,7
,Ms. Rebecca Drake MD,30-04-2014 10:54,30-Apr-14,30-May-14,301.98,301.98,0.0,16
Coffee,Kevin Jones,30-04-2014 10:59,30-Apr-14,14-May-14,82.93,82.93,0.0,41
,Joshua Cobb,30-04-2014 10:59,23-Apr-14,23-May-14,73.38,73.38,0.0,7
,Ms. Rebecca Drake MD,30-04-2014 11:59,30-Apr-14,30-May-14,311.98,311.98,0.0,16
,Elizabeth Figueroa,30-04-2014 12:16,30-Apr-14,14-May-14,8305.98,8305.98,0.0,16
,Zachary Booth,30-04-2014 12:31,30-Apr-14,30-May-14,457.98,457.98,0.0,16
,Ms. Rebecca Drake MD,30-04-2014 12:39,30-Apr-14,30-May-14,181.98,181.98,0.0,16
,Daniel Williams,30-04-2014 12:44,25-Apr-14,09-May-14,326.16,326.16,0.0,61
,Daniel Williams,30-04-2014 13:18,25-Apr-14,09-May-14,304.74,304.74,0.0,61
,Daniel Williams,30-04-2014 13:27,25-Apr-14,09-May-14,273.18,273.18,0.0,61
,Daniel Williams,30-04-2014 14:04,25-Apr-14,09-May-14,211.98,211.98,0.0,61
,Daniel Williams,30-04-2014 14:06,25-Apr-14,09-May-14,138.06,138.06,0.0,61
,Joseph Thompson,30-04-2014 14:41,30-Apr-14,14-May-14,433.98,433.98,0.0,7
,Kelly Lee,30-04-2014 15:28,30-Apr-14,30-May-14,646.5,646.5,0.0,72
,Brianna Everett,30-04-2014 16:26,30-Apr-14,14-May-14,21.98,21.98,0.0,2
,Joseph Serrano,30-04-2014 16:31,30-Apr-14,14-May-14,21.98,21.98,0.0,2
,Gerald Sutton,30-04-2014 16:52,29-Apr-14,13-May-14,3901.98,3901.98,0.0,34
,William Baker,01-05-2014 08:34,01-May-14,31-May-14,3663.98,2501.98,1162.0,11
,Anthony Ross,01-05-2014 08:52,01-May-14,08-May-14,125.87,125.87,0.0,8
,Steven Blackwell,01-05-2014 08:59,01-May-14,08-May-14,43.67,43.67,0.0,8
iStock subscription,Kristin Olson,01-05-2014 09:47,30-Apr-14,31-May-14,119.22,119.22,0.0,36
iStock subscription,Kristin Olson,01-05-2014 10:04,30-Apr-14,31-May-14,119.22,119.22,0.0,36
,Eric Strickland,01-05-2014 10:38,01-May-14,30-Jun-14,192.22,192.22,0.0,67
Suppliers for new office,Christina Wilson,01-05-2014 10:50,01-May-14,31-May-14,2766.78,2766.78,0.0,36
,Danielle Martinez,01-05-2014 13:30,25-Apr-14,09-May-14,746.22,746.22,0.0,61
,Donna Willis,01-05-2014 13:42,30-Apr-14,31-May-14,206.9,206.9,0.0,112
,Stephanie Foster,01-05-2014 14:30,19-Apr-14,19-May-14,75.48,75.48,0.0,32
Studio heating,Douglas Ross,01-05-2014 15:12,22-Apr-14,30-May-14,114.3,114.3,0.0,36
,Michael Fisher,01-05-2014 16:01,01-May-14,15-May-14,51.98,51.98,0.0,8
Taxi,Melanie Tucker,01-05-2014 16:47,01-May-14,31-May-14,45181.57,45181.57,0.0,36
